Datum;BTC-EUR;ETH-EUR;DOT-EUR;TRX-EUR;ATOM-EUR
2014-09-16;355,9574;;;;
2014-09-17;328,5394;;;;
2014-09-18;307,7611;;;;
2014-09-19;318,759;;;;
2014-09-20;310,6324;;;;
2014-09-21;312,9588;;;;
2014-09-22;339,1898;;;;
2014-09-23;331,25;;;;
2014-09-24;322,6766;;;;
2014-09-25;318,8969;;;;
2014-09-26;315,0292;;;;
2014-09-27;297,5787;;;;
2014-09-28;295,8996;;;;
2014-09-29;306,4175;;;;
2014-09-30;303,9498;;;;
2014-10-01;296,0549;;;;
2014-10-02;287,2649;;;;
2014-10-03;262,7775;;;;
2014-10-04;256,1621;;;;
2014-10-05;261,0765;;;;
2014-10-06;265,5086;;;;
2014-10-07;277,033;;;;
2014-10-08;287,7166;;;;
2014-10-09;286,3631;;;;
2014-10-10;286,9468;;;;
2014-10-11;299,5087;;;;
2014-10-12;306,9293;;;;
2014-10-13;317,1189;;;;
2014-10-14;307,9353;;;;
2014-10-15;298,8018;;;;
2014-10-16;300,8215;;;;
2014-10-17;306,8448;;;;
2014-10-18;305,6222;;;;
2014-10-19;299,2145;;;;
2014-10-20;304,0238;;;;
2014-10-21;303,1073;;;;
2014-10-22;283,356;;;;
2014-10-23;282,8295;;;;
2014-10-24;274,0892;;;;
2014-10-25;279,8454;;;;
2014-10-27;277,9003;;;;
2014-10-28;280,771;;;;
2014-10-29;265,6884;;;;
2014-10-30;273,8777;;;;
2014-10-31;270,1382;;;;
2014-11-01;260,0998;;;;
2014-11-02;260,6927;;;;
2014-11-03;262,232;;;;
2014-11-04;263,3193;;;;
2014-11-05;272,0894;;;;
2014-11-06;282,1862;;;;
2014-11-07;274,9879;;;;
2014-11-08;277,4558;;;;
2014-11-09;291,5442;;;;
2014-11-10;295,3111;;;;
2014-11-11;294,7928;;;;
2014-11-12;340,7845;;;;
2014-11-13;337,3436;;;;
2014-11-14;317,7206;;;;
2014-11-15;300,4017;;;;
2014-11-16;309,7852;;;;
2014-11-17;311,2211;;;;
2014-11-18;299,392;;;;
2014-11-19;303,5213;;;;
2014-11-20;285,3134;;;;
2014-11-21;283,216;;;;
2014-11-22;284,8886;;;;
2014-11-23;297,1247;;;;
2014-11-24;303,1457;;;;
2014-11-25;300,7837;;;;
2014-11-26;294,6017;;;;
2014-11-27;296,7092;;;;
2014-11-28;302,27;;;;
2014-11-29;301,5023;;;;
2014-11-30;304,0185;;;;
2014-12-01;304,1747;;;;
2014-12-02;307,8348;;;;
2014-12-03;304,5643;;;;
2014-12-04;298,4529;;;;
2014-12-05;306,7595;;;;
2014-12-06;305,0753;;;;
2014-12-07;305,1289;;;;
2014-12-08;293,9004;;;;
